 TWA\TWS	        0	        1	        2	        3	        4	        5	        6	        7	        8	        9	       10	       11	       12	       13	       14	       15	       16	       17	       18	       19	       20	       21	       22	       23	       24	       25	       26	       27	       28	       29	       30	       31	       32	       33	       34	       35	       36	       37	       38	       39	
22      	 0.000000	 1.464222	 2.689156	 3.498658	 3.969165	 4.210847	 4.216207	 4.000987	 3.791535	 3.828065	 4.195645	 4.868334	 5.531280	 5.878452	 5.928009	 5.779155	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	 5.531096	
23      	 0.000000	 1.524007	 2.800592	 3.647327	 4.141770	 4.397082	 4.408856	 4.196153	 3.989474	 4.033006	 4.414228	 5.107218	 5.789160	 6.146190	 6.197154	 6.044073	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	 5.788971	
24      	 0.000000	 1.582889	 2.910587	 3.794614	 4.313332	 4.582628	 4.601639	 4.393092	 4.190826	 4.242073	 4.636527	 5.348448	 6.047900	 6.413999	 6.466257	 6.309289	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	 6.047708	
25      	 0.000000	 1.640829	 3.019080	 3.940460	 4.483808	 4.767456	 4.794561	 4.591882	 4.395739	 4.455444	 4.862703	 5.592126	 6.307539	 6.681882	 6.735318	 6.574815	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	 6.307344	
26      	 0.000000	 1.697788	 3.126008	 4.084805	 4.653152	 4.951535	 4.987629	 4.792600	 4.604362	 4.673300	 5.092919	 5.838354	 6.568113	 6.949842	 7.004333	 6.840664	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	 6.567916	
27      	 0.000000	 1.753726	 3.231309	 4.227587	 4.821319	 5.134835	 5.180848	 4.995323	 4.816843	 4.895818	 5.327336	 6.087234	 6.829661	 7.217884	 7.273302	 7.106849	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	 6.829463	
28      	 0.000000	 1.808604	 3.334919	 4.368749	 4.988262	 5.317326	 5.374224	 5.200128	 5.033330	 5.123179	 5.566116	 6.338868	 7.092220	 7.486009	 7.542222	 7.373384	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	 7.092020	
29      	 0.000000	 1.862383	 3.436776	 4.508228	 5.153938	 5.498978	 5.567763	 5.407092	 5.253972	 5.355562	 5.809419	 6.593358	 7.355827	 7.754221	 7.811091	 7.640280	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	 7.355627	
30      	 0.000000	 1.915024	 3.536818	 4.645966	 5.318300	 5.679762	 5.761471	 5.616292	 5.478917	 5.593146	 6.057408	 6.850807	 7.620520	 8.022523	 8.079909	 7.907551	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	 7.620320	
31      	 0.000000	 1.966487	 3.634982	 4.781901	 5.481303	 5.859648	 5.955353	 5.827807	 5.708314	 5.836111	 6.310245	 7.111315	 7.886335	 8.290918	 8.348673	 8.175209	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	 7.886137	
32      	 0.000000	 2.016734	 3.731205	 4.915975	 5.642903	 6.038605	 6.149415	 6.041711	 5.942310	 6.084636	 6.568090	 7.374986	 8.153311	 8.559409	 8.617381	 8.443269	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	 8.153115	
33      	 0.000000	 2.065725	 3.825425	 5.048127	 5.803054	 6.216603	 6.343664	 6.258084	 6.181055	 6.338900	 6.831105	 7.641921	 8.421485	 8.827999	 8.886031	 8.711742	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	 8.421292	
34      	 0.000000	 2.113420	 3.917579	 5.178296	 5.961709	 6.393613	 6.538104	 6.477001	 6.424697	 6.599083	 7.099453	 7.912222	 8.690895	 9.096692	 9.154622	 8.980641	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	 8.690705	
35      	 0.000000	 2.159781	 4.007604	 5.306424	 6.118826	 6.569605	 6.732742	 6.698540	 6.673384	 6.865364	 7.373294	 8.185991	 8.961577	 9.365490	 9.423152	 9.249980	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	 8.961391	
36      	 0.000000	 2.204768	 4.095439	 5.432449	 6.274357	 6.744548	 6.927584	 6.922778	 6.927264	 7.137923	 7.652790	 8.463331	 9.233569	 9.634397	 9.691619	 9.519771	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	 9.233389	
37      	 0.000000	 2.248341	 4.181020	 5.556312	 6.428258	 6.918413	 7.122635	 7.149792	 7.186486	 7.416938	 7.938102	 8.744342	 9.506909	 9.903415	 9.960021	 9.790028	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	 9.506735	
