Grib  N° 216
Zone : Lon: 121, Lat: -48 X Lon: 178, Lat: 41
Cases en longitudes: 57 pas de 1.01786°;
Cases en latitudes: 90 pas de 1°

Données TWS, TWD de la fenêtre 0

Date: 2017/04/02 12:00:00 UTC
LATITUDE\LONGITUDE	121.00000	122.01786	123.03572	124.05358	125.07144	126.08930	127.10716	128.12502	129.14288	130.16074	131.17860	132.19646	133.21432	134.23218	135.25004	136.26790	137.28576	138.30362	139.32148	140.33934	141.35720	142.37506	143.39292	144.41078	145.42864	146.44650	147.46436	148.48222	149.50008	150.51794	151.53580	152.55366	153.57152	154.58938	155.60724	156.62510	157.64296	158.66082	159.67868	160.69654	161.71440	162.73226	163.75012	164.76798	165.78584	166.80370	167.82156	168.83942	169.85728	170.87514	171.89300	172.91086	173.92872	174.94658	175.96444	176.98230	178.00016	
40.00000	15.45836;245.56201	5.54489;211.04298	4.60079;289.86584	4.04931;263.81046	0.49489;45.92302	3.10000;165.79297	5.99290;281.96781	10.32266;277.24814	14.21072;267.96186	19.40492;255.07561	24.22869;243.55418	24.37600;241.59155	24.82945;239.44781	20.29394;236.06639	18.88537;230.34545	18.15700;237.02448	16.98180;242.94219	16.45319;254.59111	14.92916;264.91519	3.17641;207.98586	4.18671;223.55145	11.15369;239.61850	8.34253;246.00905	6.53673;292.44686	5.51596;75.00290	5.46483;28.44293	8.88575;358.67504	11.47545;351.99809	10.75580;336.91018	6.54404;247.48749	15.25998;134.69035	12.44649;122.05186	11.14569;120.23198	9.16623;109.31872	7.39388;87.82588	8.30326;57.31071	8.53102;24.64384	10.81897;6.58847	7.78443;19.41226	9.39061;357.15714	11.02057;31.24800	11.56643;45.87156	12.35094;44.26671	13.37911;40.22658	12.77693;42.52758	14.36241;52.48956	16.86751;51.10920	17.91714;52.00617	18.19248;59.00895	19.21392;69.03282	19.89208;75.76142	20.93939;82.50026	22.07575;88.02496	21.70771;92.08760	19.30207;93.23699	16.55611;95.13627	12.88265;102.10683	
39.00000	12.46756;207.48394	8.80958;225.52744	12.32119;239.61603	13.94744;255.28977	12.99110;245.73981	2.33645;204.47118	5.61859;230.77057	17.92132;244.87198	20.60457;274.30505	16.02089;251.45733	21.31936;231.65675	22.94634;237.00726	21.87418;237.94119	20.21670;235.87905	18.30353;238.92667	16.59786;243.58199	14.85073;248.20973	13.70919;256.57852	12.88877;261.87515	3.61033;228.40489	3.50766;303.60024	2.17165;192.66787	7.67835;283.30871	8.86725;313.18790	12.87381;305.51153	5.43849;311.66755	12.13301;353.77882	12.42879;349.55649	10.30261;345.01984	12.54698;173.64020	12.71882;145.64932	11.66965;134.08891	12.60275;121.61850	11.33579;103.68834	9.69513;81.35961	9.60838;48.55128	10.41129;22.97947	9.41852;10.51099	9.51580;1.34610	12.23847;8.91235	10.04304;27.25443	9.83900;46.42489	12.76220;40.39778	14.05681;39.17457	14.78041;41.84943	17.24339;46.79519	19.67540;46.97769	21.55705;51.39183	23.66681;59.21783	25.07331;65.85124	26.92614;71.03399	27.81057;78.30522	28.23629;84.13634	26.69561;84.94533	25.93153;90.40497	23.75852;95.30944	19.52306;94.68310	
38.00000	7.50636;166.82745	11.90109;212.49344	12.97489;228.08488	14.21027;240.63328	7.54575;261.57725	5.02921;265.15323	2.63647;235.51671	3.49935;217.14361	18.02503;260.25224	15.22160;259.35877	19.99247;230.86777	18.66050;235.77028	17.09553;240.13795	15.80530;241.08023	14.34258;249.03497	12.89802;253.55881	12.14889;254.20697	7.99894;248.24772	6.05602;217.88144	4.19157;258.10122	8.52232;299.68166	15.23120;317.33773	6.02266;296.32522	10.16473;329.20724	10.49943;347.63112	12.94670;357.12900	14.48432;359.42329	15.48948;5.40867	8.41418;148.99084	12.13955;121.39173	13.00665;110.82664	14.20363;102.08654	14.55587;96.29761	14.70520;90.07574	13.84874;73.81378	12.47567;57.56784	11.49927;38.47981	10.02515;22.92580	10.43587;15.07166	11.05685;27.59669	9.96724;42.39170	12.32866;34.99054	13.54555;33.58745	14.25096;29.81371	15.92345;33.29627	17.85506;37.95157	18.96505;36.66553	21.27917;45.37380	22.85261;51.09739	19.79033;57.06696	6.73123;63.79753	5.35644;242.57944	8.24326;177.60652	22.00065;117.81937	29.89855;105.24336	28.73636;103.57940	24.00510;103.05721	
37.00000	4.20522;173.63056	6.68177;221.10752	12.43143;232.59255	12.67059;241.07175	12.88092;256.41044	11.32786;271.69625	5.10508;247.02772	2.66970;252.52154	5.88436;269.37804	16.11274;234.69936	18.35868;230.27521	15.20652;233.90209	13.69463;240.90274	11.43301;252.48617	8.94744;272.05429	3.15082;251.59411	5.13351;201.15075	2.45370;196.06448	2.71535;294.11366	4.98235;332.18524	9.00639;332.96487	14.03073;338.41822	11.76525;337.55344	12.50148;352.82835	15.75576;356.02841	19.19511;357.71971	18.84341;11.97298	7.85332;357.12131	10.04417;108.50508	14.82741;96.81384	16.30627;87.54997	15.77738;86.33666	16.55547;86.08569	18.74391;85.65589	18.53651;74.18418	16.20195;59.00677	14.13758;48.88003	13.90673;35.43620	13.34986;33.81502	12.18473;38.06739	12.99905;38.36944	14.23013;35.17283	15.65515;32.86132	16.47972;29.20755	17.32053;21.13631	18.67138;14.09990	15.49977;0.79546	17.01819;297.49580	26.41195;263.87821	29.88983;245.30163	31.42252;237.14850	33.13980;241.13178	31.12859;237.92863	32.47427;234.14258	33.79420;230.57842	36.76809;225.10709	32.76338;221.05481	
36.00000	15.26060;192.65546	14.28920;199.48500	12.13258;216.11714	10.69767;240.52372	11.24273;264.48655	10.56361;280.80748	4.27606;196.97117	5.01889;255.70541	5.97507;262.71083	15.40050;248.10056	11.46120;232.50428	9.46509;240.04933	7.61317;255.33715	6.26225;284.77905	7.93777;334.31346	3.37284;25.66125	3.74272;352.06811	1.30119;266.17625	1.90596;343.18770	4.27646;35.32273	11.64557;354.86990	14.87785;357.24787	15.60647;356.53674	16.06540;358.05574	19.73601;353.60995	20.70819;356.21687	10.77561;4.13790	7.02892;48.16119	9.49305;95.64055	13.06696;91.77484	11.72083;80.04872	11.60453;80.26945	13.49926;88.76235	18.83923;92.69738	18.41910;87.04429	18.16603;79.26962	15.62266;63.12569	13.33672;43.59447	12.58342;39.13808	13.42192;37.04747	13.63803;37.31416	14.44220;28.58646	16.28869;22.70928	17.72788;6.84527	17.09712;346.54202	18.67754;300.12209	24.73527;274.24582	27.00393;258.03084	30.15276;240.94647	31.84220;234.52372	32.41956;233.28813	31.99258;233.09111	32.99155;233.48119	32.84502;232.52651	31.91995;229.84150	32.20713;225.70913	30.11994;222.35826	
35.00000	15.18592;178.60640	13.67029;188.18310	12.00717;208.87622	10.09636;235.08299	9.79758;266.91337	8.50385;290.14983	3.61457;300.39040	3.65443;313.66377	6.08087;258.27519	6.52203;237.19090	2.50724;267.93709	1.81872;222.38367	2.44490;319.05234	3.71922;338.15967	3.52669;346.61482	2.89266;287.65813	3.38288;345.25627	2.01878;68.47212	1.46197;27.73370	6.95966;33.40157	12.79269;17.13537	16.14461;9.89329	17.28560;5.12011	20.84543;1.52877	23.55569;357.90545	16.67928;357.29465	7.28060;30.53613	8.75319;90.20905	11.35631;88.43065	13.76010;76.73723	12.74683;72.49899	10.32693;71.63326	8.16700;89.14274	12.05521;111.53035	15.62078;97.51502	15.68710;77.43962	14.79104;60.82765	13.74413;47.95798	13.01799;38.28168	13.36380;31.98860	14.08388;22.10098	14.54855;7.40494	13.48406;343.75962	15.20953;304.02314	18.02749;281.24814	24.64467;260.65358	29.92743;245.41252	28.80724;239.65952	29.50796;234.96778	30.42718;232.93244	30.35059;231.50352	31.42656;230.19443	31.91841;231.10587	30.93395;229.99621	30.67755;227.36243	30.22144;226.45945	27.46341;223.13575	
34.00000	13.73209;167.24247	12.01989;168.52652	9.50023;197.11135	7.55974;230.78108	7.25691;272.74208	9.68366;304.22597	13.87526;312.48481	14.87621;310.66545	3.95444;271.04608	3.46303;342.70622	3.27185;336.62128	4.30503;346.11686	3.50912;314.88779	3.97717;324.95063	9.39829;12.23960	7.82247;334.46014	10.66595;331.58538	2.58334;279.43681	4.70821;68.78722	9.99217;36.72723	13.66840;23.73249	16.62578;13.91601	20.29941;7.64903	22.89296;3.89158	20.82415;5.69463	9.46022;1.53890	10.04975;67.60178	15.15733;57.23519	21.41804;50.89353	20.69238;62.36856	17.75839;74.67832	13.99103;94.33698	11.70272;100.63427	11.24014;94.04806	11.55595;80.42075	13.10774;72.32816	14.28190;61.16051	13.62584;48.18047	10.78673;43.80256	9.07139;22.83425	8.35281;346.25481	10.68620;307.60990	13.06174;290.10695	18.41054;263.01980	23.32108;243.42641	25.48446;240.49417	27.29962;235.97727	28.73252;233.48672	29.49377;231.35199	29.85701;229.32992	28.83909;229.49128	28.08818;233.06507	27.76774;230.92676	27.45391;227.54238	27.41616;226.02554	26.24081;225.17707	23.60590;220.89299	
33.00000	12.02688;166.25574	10.73934;145.75480	5.97648;168.42145	2.79094;229.76013	4.16644;306.90198	9.37570;338.38168	10.69462;332.09353	13.33442;328.19825	7.66130;3.49109	2.24920;6.34621	1.38351;295.94582	13.15374;328.81407	8.39582;329.74834	16.06292;14.22795	18.49568;360.00000	8.21770;21.91718	2.15754;23.99708	3.34534;70.67225	5.03821;54.23104	11.09555;32.96622	15.15398;21.10400	17.82422;12.21433	20.01236;8.94630	19.89850;5.47334	13.50817;3.91362	12.46515;350.24978	13.82786;20.41181	14.28244;329.71830	9.03645;204.80096	14.90694;179.17514	15.96978;149.62710	14.93350;122.11369	11.28904;109.92326	9.23483;91.05533	8.47268;70.27632	7.35339;56.78882	5.73673;36.60975	5.42297;7.16985	7.35406;322.46373	9.29356;293.36382	11.27207;278.10034	15.09333;271.50476	19.59659;251.67289	23.78103;234.44436	26.55108;228.18427	27.93130;227.47633	27.79814;228.37611	27.86201;226.34273	27.96009;225.78868	27.73304;225.75254	27.28451;226.66856	26.01936;226.17445	24.59827;224.82071	24.02494;224.39684	24.35953;223.87809	23.67934;224.55101	21.21931;223.18111	
32.00000	6.47849;150.12718	9.40056;125.27738	4.72433;110.39822	2.37972;37.12543	5.33479;352.19083	9.03388;351.38572	8.80527;358.90672	11.98118;351.13369	15.03588;3.20826	12.69125;9.41471	4.21310;314.38314	23.08865;345.50982	19.18301;350.35155	12.04091;24.73638	12.74324;359.16968	9.02998;21.20133	6.51843;71.98649	7.69249;71.18962	6.44955;46.78305	8.35350;20.99922	12.12410;16.73532	14.28940;9.51358	15.28142;4.33040	13.99395;0.31549	15.04970;348.14145	16.14952;341.83548	16.76790;351.39271	3.36313;280.88778	10.86998;163.80127	11.74905;175.67233	10.80610;185.76700	8.13683;195.12186	6.55639;225.02402	6.10064;245.95039	7.05216;249.94673	6.61149;253.25396	7.63144;257.24024	8.00601;253.84441	6.53825;274.54268	11.07022;269.88501	21.19055;235.67582	24.94109;225.95047	24.69568;224.15490	24.35313;224.19799	24.87520;225.45273	25.79880;229.28679	24.60927;226.72194	24.00678;223.18560	23.68319;221.59956	23.63959;223.08408	23.58110;224.85305	22.90483;224.86247	21.62537;224.04219	21.08073;223.04206	21.79069;223.80004	21.52970;223.95744	20.52807;218.88858	
31.00000	5.85175;122.10626	7.22423;115.22738	6.58762;62.13437	6.95397;31.72187	8.95054;14.19318	9.04292;343.69595	10.38583;16.38288	13.96984;12.65938	17.63577;4.30726	20.23374;355.02993	18.32638;338.80236	19.41984;348.91389	20.70188;333.97389	17.85954;324.18032	16.19862;320.28246	13.67040;325.90772	8.65184;54.39947	14.47256;47.40588	13.37316;20.80850	13.12864;12.72756	10.97921;29.33344	12.04693;18.21276	13.83464;15.65899	17.87902;5.39633	18.20398;349.59720	17.72902;349.53895	13.33307;302.43660	19.97246;242.02330	19.92449;247.21244	16.84731;234.00276	10.27191;203.39221	5.64001;199.62088	6.83832;223.32987	7.36768;221.28831	5.60815;198.31060	2.08580;89.59952	4.48322;311.92443	17.14028;235.70800	23.95573;223.83287	23.06416;221.87415	23.01163;222.51461	22.33243;223.63515	21.30831;223.96509	21.58233;223.30298	22.25772;223.17041	22.43377;221.87060	22.07798;219.08603	21.33391;218.68590	20.60565;220.12114	19.88098;222.21415	19.35750;222.00432	19.47484;222.48796	19.23669;223.57108	18.25645;224.68941	16.80153;221.07368	18.57234;213.25264	17.71636;209.65911	
30.00000	3.18043;120.48330	5.51225;108.32122	6.69425;44.36471	8.89313;17.96367	10.59444;5.29427	10.71129;0.65726	11.29253;2.46642	15.60861;10.11338	18.41224;1.87550	19.31095;353.12608	20.90469;343.85189	22.55927;331.71697	21.99951;331.00489	19.30277;325.18807	17.65082;319.01886	18.26045;305.63410	16.66445;313.20389	11.81655;326.27595	4.62169;312.81836	5.46834;49.33906	14.16732;53.64896	14.32497;35.53406	16.26052;19.27970	18.02174;5.40251	17.37444;344.49751	19.25807;279.82171	21.84454;253.23239	20.49832;252.19220	19.56505;248.73770	18.03532;246.59869	13.37785;237.03267	12.89337;232.78112	8.21037;223.79133	3.44055;288.65299	15.80590;239.77704	24.73481;217.46427	22.15012;217.83132	21.96891;220.88833	21.96837;222.08067	21.33317;222.34849	20.67451;222.67194	19.48320;223.11199	18.30805;223.47276	18.98535;219.08674	20.00415;216.74741	19.44638;215.70146	18.15298;216.07474	17.93273;217.39781	17.69461;221.25875	15.90020;222.50787	14.57317;219.69109	15.50906;218.19998	15.69298;224.17696	16.77267;215.63339	17.73741;206.02028	15.96652;208.00643	14.80445;206.43048	
29.00000	1.23629;126.68972	5.64437;248.84349	5.35778;357.66909	9.62883;3.35627	11.67492;351.49188	13.74764;343.26894	15.10069;341.45310	15.65943;341.62128	17.43318;349.07973	20.23657;347.91831	19.58730;340.28651	23.00638;329.80838	23.79086;316.33083	24.23651;310.04504	20.29387;318.30038	18.36754;316.71960	20.00473;307.78856	19.49042;295.90827	16.04894;290.28963	10.44192;305.88857	7.84839;61.13698	13.10337;44.11046	12.66070;11.43242	14.42961;313.05666	22.46729;274.65792	23.85423;264.74005	21.35472;261.67297	18.75164;262.58472	16.44388;252.10051	15.99599;244.98269	12.08497;247.60132	6.77164;263.76079	12.37512;260.17814	22.07838;219.00724	20.59926;218.62519	19.85025;217.05169	19.30310;217.48381	19.00972;217.04097	18.94130;217.41909	18.08685;220.21792	16.94858;224.05670	15.94130;228.43550	17.31018;218.38850	17.52777;212.54624	16.53049;213.30886	15.27703;212.35545	14.31445;210.86635	15.12144;213.53890	15.60199;222.99062	14.40108;225.42108	11.57699;217.62607	10.25979;217.47130	12.99643;212.46593	16.40233;200.62995	15.72754;202.75877	13.68751;202.08094	12.04437;200.59934	
28.00000	0.66005;13.62699	1.90930;301.82112	4.91281;4.06817	8.66897;352.06449	12.46050;337.30725	16.54576;326.28193	19.05377;323.90988	20.25233;325.36119	19.97867;325.23222	20.93137;321.31111	22.29792;322.62662	22.36088;322.76850	21.03557;314.79035	21.19153;308.35530	22.26672;309.49177	19.72572;317.04455	20.63257;310.87414	19.96311;301.72921	18.24865;296.48044	19.77249;290.70306	22.09364;286.46265	22.06412;286.20125	22.50153;282.06710	22.99549;275.76842	23.08080;271.44777	22.47181;269.46720	21.61917;271.04893	16.59255;268.49426	13.84803;257.68055	12.89064;262.85355	13.08527;265.73440	19.85368;247.60064	19.78832;220.96514	18.56063;217.40395	18.25236;217.00048	17.64367;215.76516	17.29733;212.18625	16.96266;211.30382	15.64679;214.58441	14.38295;220.37368	14.22575;226.90473	17.07915;215.35423	16.99307;209.87902	15.42622;208.86457	13.80109;207.97992	12.60796;206.96406	12.12205;205.12679	12.25346;210.14849	12.70123;222.25835	11.97018;224.26312	9.49925;222.23820	7.22323;236.14743	13.81521;192.10996	14.03454;192.56754	12.68487;189.56192	10.30118;189.21455	8.55453;186.78590	
27.00000	1.54789;7.21426	10.21423;54.03516	12.63075;30.46018	11.06449;9.91807	12.22873;346.57122	15.16784;333.28389	17.73353;328.50523	18.63280;325.84243	19.25242;324.85775	19.67066;323.33280	20.53162;319.93884	21.24073;317.94146	21.22252;317.53533	20.58474;315.21425	21.01989;316.81741	21.28570;315.17759	20.95045;306.71254	21.28969;300.19845	20.33554;297.70650	20.88893;293.55214	21.38868;287.91131	20.95714;283.80166	21.33808;279.39539	21.49717;277.27796	20.85886;276.09844	20.17507;279.04122	19.04234;275.80429	15.85838;270.45152	11.31378;270.59066	13.04010;263.18453	19.89794;238.23372	20.06342;227.20652	17.53487;220.33744	17.08613;218.11110	16.63451;216.36506	16.00537;211.17260	15.49153;210.12654	14.28757;212.16568	12.46983;218.44918	11.70784;219.11739	15.10174;208.30675	15.36850;202.52677	14.37847;202.57816	13.52588;199.99225	12.84458;199.18079	11.42105;200.73295	10.18187;202.70737	9.48119;208.38827	9.37479;221.82297	9.51257;226.87964	9.43444;229.78028	10.26924;209.25791	13.12538;183.97946	11.75973;173.59768	8.68574;172.58838	6.81379;170.28025	6.10714;168.61854	
26.00000	15.17656;80.93581	13.61505;52.07479	11.53738;34.67806	11.05144;22.14388	12.16018;7.37403	13.81503;357.44517	15.16114;348.83702	15.75159;346.36676	17.35456;340.52188	17.74561;338.91653	18.44085;336.10987	19.16637;332.53835	19.56130;329.11241	18.97065;324.38657	19.09852;323.42168	20.38066;319.87467	22.21072;310.48871	22.11431;307.88426	20.70025;301.20920	19.75529;296.35074	19.85206;290.27501	19.57929;287.42936	19.23371;287.55231	18.78026;286.69811	17.86447;286.84375	17.14344;284.17017	15.31728;276.38564	14.37450;272.08158	13.78338;264.65926	18.27559;238.10185	19.33835;226.03852	17.62328;221.17641	16.51815;219.10629	15.86246;215.55400	14.61569;213.66471	14.30155;212.93409	13.88155;211.59121	12.81101;215.89443	11.48508;218.93393	11.84924;207.09049	12.53559;197.03284	12.37029;191.98974	11.96241;187.23472	11.52531;184.35661	11.15186;185.45818	10.59148;189.75171	9.31323;195.89283	7.64939;204.07041	6.65925;223.93558	7.81908;226.37999	9.25490;226.10629	12.28794;184.61114	10.63191;164.59420	8.16592;155.87549	5.76468;156.46908	4.80509;177.72305	5.33878;122.35919	
25.00000	20.39262;60.16028	7.39229;51.73784	11.76444;37.98708	12.19196;32.44597	12.46646;27.41609	13.48164;20.76586	14.48892;14.38674	15.47267;8.85288	16.06430;4.10370	16.95994;359.15547	17.08149;354.70658	17.24458;346.30054	17.90757;342.10985	18.16927;337.61920	18.57633;331.02110	20.01370;324.49920	21.34744;320.55715	19.83097;314.11835	18.37432;305.48413	17.84447;299.28194	18.17943;296.91849	17.36310;294.47050	16.06668;296.46895	15.58612;298.19186	15.07151;294.59501	13.99871;285.42957	13.89804;279.91421	13.70742;273.82488	16.60850;242.08530	16.54774;228.13786	15.87818;219.56578	15.13771;216.56236	13.83079;215.59104	12.67401;215.22815	12.15019;211.99664	11.74340;208.38490	11.08960;210.13354	10.59516;215.56212	9.44277;214.55044	8.60779;198.06261	9.24097;181.15360	9.78555;173.22819	10.02972;170.23646	9.69749;167.95578	9.70016;162.91584	8.88917;162.52788	7.33604;168.79130	5.10482;178.30890	3.51200;195.97023	4.20693;212.66206	9.21872;187.49485	9.93310;158.48592	8.31856;139.89101	5.89877;124.59604	3.71636;133.62245	0.63441;84.03262	6.50918;113.96249	
24.00000	6.32039;117.27432	11.08296;19.27392	11.40598;47.03728	12.64878;47.97745	13.61329;46.84575	14.24261;44.20927	15.10129;37.43189	15.72873;30.70752	16.47717;23.72846	17.14109;15.38847	16.86420;9.07906	17.50628;359.92277	17.78800;353.01400	18.71119;344.52719	20.78346;335.31656	20.77875;329.09691	19.25594;323.40195	17.83797;316.97828	17.38985;312.43137	17.26041;309.09918	16.31709;306.70335	14.89311;306.10710	14.12610;308.54160	13.10387;306.75601	12.36194;303.27277	12.00351;297.26633	11.50237;288.14713	15.04476;245.93529	14.42805;234.59692	13.55172;221.31890	12.04587;214.32091	10.23058;215.83128	9.57496;215.72293	8.67093;212.71748	8.37738;204.26351	8.72515;201.08792	8.46595;202.83238	6.99154;217.40833	5.86803;206.98946	5.39129;178.10344	8.17187;152.14878	9.91017;148.28648	10.34860;144.98153	10.13999;143.40250	10.77241;144.22195	9.75686;142.66665	8.16189;142.51877	6.53628;133.62632	4.09319;139.91224	6.90095;165.68976	9.42662;146.39513	8.95417;126.68581	7.28210;105.89498	5.54356;87.43758	4.08204;88.24564	6.71774;94.55244	8.50580;104.83020	
23.00000	4.19096;37.08250	14.06239;49.73202	14.46470;54.27436	15.39832;55.91875	16.07543;53.98230	16.64121;49.23465	17.07297;45.29983	17.78149;38.06506	18.13019;30.82996	17.85292;23.47792	17.41557;15.93661	17.94270;6.05647	18.94009;358.43740	19.80748;351.97248	19.07644;345.24158	18.03977;338.52189	17.77248;332.01672	17.54211;326.43848	16.74525;321.04519	15.45631;319.04387	14.75210;320.11033	13.36188;322.17984	12.30228;317.47176	12.38961;314.20542	11.13894;315.88380	10.55668;290.55728	13.44586;246.57409	12.86324;241.32804	11.32623;225.41719	9.58914;226.15808	7.52286;226.60190	6.26229;228.18332	6.95284;215.02745	7.84776;194.64894	7.45871;185.08357	7.03682;179.68345	4.13394;190.05761	2.22005;180.73447	2.49627;146.51040	4.50959;169.35364	7.66164;171.09690	9.19793;157.10350	9.74427;145.07352	11.03018;140.49178	11.84289;135.29259	11.53919;126.00892	9.56913;126.15060	7.28061;130.28936	7.90508;129.32212	9.24971;122.19045	9.23269;107.13022	8.48178;91.45376	7.46926;76.54167	10.12764;72.79621	9.52373;79.93322	10.30362;91.42480	11.13713;95.81010	
22.00000	23.20036;48.36247	18.56244;56.87074	17.96340;57.60489	17.98320;56.09178	18.05037;54.99383	18.44201;52.77017	18.36393;47.74997	18.55430;39.87858	19.02742;32.92866	19.48165;24.44254	19.39399;17.27626	19.25502;10.68148	18.65865;4.88320	18.38197;359.40925	18.47356;353.11054	18.06941;347.34818	17.58733;341.27868	15.72018;335.87853	14.86315;332.96914	14.54189;333.50003	12.97121;333.73446	12.50300;328.17308	13.18317;324.37885	12.20924;329.64638	10.85759;279.37632	11.73226;255.63912	10.02449;244.84618	8.94309;231.38882	7.48279;248.03276	6.37428;250.86332	5.74199;232.03996	6.09231;210.33671	6.80252;187.05800	7.12251;166.04567	7.15280;153.14945	3.91165;141.05116	2.76773;78.24813	2.98081;78.00858	5.73481;165.17242	7.39202;174.30290	7.75299;169.68320	9.03337;163.63968	12.74510;154.13841	13.20358;141.13732	11.68894;134.71703	12.52121;122.27881	11.24115;116.75115	10.83219;113.43215	11.09204;106.04332	10.51684;94.71791	10.28910;83.77887	10.41570;74.01054	11.51166;65.99724	12.42490;70.57289	11.72753;83.63737	11.32469;99.44163	10.98628;104.97060	
21.00000	23.52103;70.69655	20.17033;65.16624	19.36381;61.82195	19.18882;58.47881	19.63017;53.52045	20.13727;48.38483	20.05253;43.36993	20.06004;38.37801	20.15941;32.68178	20.05817;27.23304	19.75500;22.07256	19.36382;16.18083	19.26461;10.00028	19.13224;4.50974	18.77126;358.90229	17.34759;354.96978	15.77009;351.65816	15.48941;348.88608	14.23825;347.93529	12.97082;343.80574	13.86984;339.17234	14.36813;338.24177	11.70435;335.84428	10.30865;269.47136	9.14293;262.10953	7.62906;250.51705	6.18348;247.03791	5.42530;269.81670	4.67534;276.44542	3.55014;236.38824	4.42904;200.15283	7.52138;164.91501	7.63811;152.42414	7.62417;139.46684	5.94033;119.71930	4.51125;81.45092	4.92029;55.29912	4.22287;145.48333	7.26537;163.30076	8.16972;160.22421	9.15378;158.78603	10.97780;144.24414	10.62115;131.77287	11.92660;123.87655	12.42437;117.29469	13.57340;113.07684	13.57775;104.48387	13.03224;99.36538	12.62462;90.81924	12.73744;81.57559	13.07780;71.79396	14.13696;62.29687	13.40104;68.76499	11.01750;97.60800	11.73219;102.65237	12.34767;95.30312	11.88796;84.74620	
20.00000	24.34912;74.48813	21.20911;69.80289	20.09642;62.57985	20.05329;56.89837	20.47442;52.21185	20.84779;47.75111	21.07302;43.35168	21.35404;38.30955	21.44460;33.36309	21.22526;29.16367	20.79583;24.89783	20.40467;19.58113	20.27901;13.36222	18.83493;10.41115	17.43012;8.20691	16.74921;3.95694	15.70680;1.86451	15.16515;1.16999	15.64918;358.84627	16.70051;350.88523	14.70098;353.68859	9.23333;325.87167	8.43779;285.69156	6.38470;278.67481	4.34650;282.02102	4.35345;298.83097	4.51057;323.44616	4.82031;336.09147	0.50875;316.54816	2.04504;160.15788	7.61700;142.02755	8.67222;138.28007	8.07894;129.43490	7.72556;113.99176	6.59020;91.58153	6.00111;68.52944	3.87052;113.64520	6.85627;151.61123	7.76559;153.52474	8.65478;143.21761	9.69732;134.65079	10.57976;126.52040	11.41969;117.41559	12.67350;115.10290	13.78854;111.56292	15.00394;105.47126	15.38611;97.69605	15.28256;90.15880	15.12026;83.66274	15.16534;75.70014	14.23567;65.78331	11.40331;70.09783	11.34079;93.55146	12.95463;94.37681	13.18779;84.39949	14.11661;77.64405	14.34369;74.19326	
19.00000	27.77346;79.31137	21.47528;71.06484	19.39591;60.14615	20.74090;52.96901	21.59578;47.86750	22.23599;43.81699	22.51716;40.79926	22.48832;38.17253	22.22705;35.51787	21.85896;32.11988	21.55740;26.34787	20.51155;23.26561	19.64689;20.06108	18.94296;15.75480	18.98089;13.74450	17.73690;13.02191	17.53587;9.44248	17.48166;5.81900	17.54895;5.11571	14.46961;5.04272	8.71536;323.86364	5.40793;314.12621	3.95896;323.58585	5.32783;345.53584	6.19143;351.85260	6.88526;4.53393	6.02367;19.94362	3.39309;63.05035	3.40545;108.64179	7.29409;120.17291	9.37420;119.53120	9.09835;116.27491	8.15705;108.52130	7.81838;90.44773	7.86729;76.77821	6.13315;90.59019	6.44183;125.10958	7.40604;134.57465	9.23253;127.93635	9.43564;121.10951	10.93965;116.21447	11.92323;114.64727	12.96266;112.29601	12.86133;108.99907	13.13070;106.13298	13.65128;99.62327	14.51146;94.43361	14.88566;88.74143	14.90710;82.65814	14.36882;76.74395	12.96915;77.79068	13.54678;87.81503	13.89467;85.30000	14.54660;78.56994	14.93589;77.37818	15.18578;74.88575	15.23548;77.77250	
18.00000	5.61785;89.60350	5.26916;68.90315	19.70402;51.25545	21.26302;46.90780	22.38520;45.00000	22.79076;43.10604	22.99361;41.05470	23.01485;39.08682	22.97421;35.94005	22.56314;33.92965	21.75283;31.91475	21.37208;26.60001	20.65187;21.61714	20.04229;19.99735	19.63766;20.78505	19.48208;18.03542	19.10801;14.75157	17.26235;16.29014	12.71379;2.13445	8.09993;341.34330	5.45887;5.78165	7.49397;7.75178	8.77902;9.60540	9.26623;11.21093	8.90819;22.95070	6.98440;49.74117	5.53570;60.96885	5.72017;67.56585	6.84457;85.43905	9.31632;109.34985	10.55476;107.93442	9.09365;97.22801	8.15423;84.70528	8.76136;81.10278	8.35748;94.36324	8.41360;109.50245	8.21391;118.88208	9.18430;116.61928	10.30642;110.57122	11.27404;110.65664	12.45838;108.83356	13.20611;104.64784	13.96233;99.94098	14.27371;96.69201	14.50170;95.25207	14.92265;93.91088	15.38730;92.39432	15.78860;89.46339	15.87012;86.73001	15.36213;86.13649	15.16965;84.34785	15.26397;78.00462	15.86125;76.25327	16.34833;77.78819	15.70160;77.20422	16.17498;78.05673	16.33165;78.39583	
